,Make & Model,Price,Depreciation,Reg Date,Mileage,Vechical Type
2,Ssangyong Tivoli Diesel 1.6A,"$64,900.00","$9,260 /yr",24-Feb-2017,"76,368 km",SUV
3,Volkswagen Passat CC 1.8T (COE till 04/2029),"$64,888.00","$8,060 /yr",22-Jul-2009,"201,527 km",Luxury
4,Mercedes-Benz E-Class E200 CGI,"$35,800.00",,19-May-2011,"205,000 km",Luxury
5,Volkswagen Scirocco 1.4A TSI (New 5-yr COE),"$48,000.00","$9,590 /yr",21-Dec-2011,"120,000 km",Sports
6,Toyota Vios 1.5A E,"$69,800.00","$8,350 /yr",15-Aug-2018,"57,000 km",Hatchback
7,Nissan Note 1.2A,"$57,888.00","$7,540 /yr",13-Feb-2018,"49,000 km",Hatchback
9,Kia Cerato Forte 1.6A,"$57,900.00","$8,770 /yr",27-Feb-2015,"108,000 km",Hatchback
10,BMW 1 Series 116i Sport,"$56,800.00","$12,730 /yr",26-Oct-2017,"45,895 km",SUV
11,Mercedes-Benz GLC-Class GLC43 Coupe AMG 4MATIC,"$218,800.00","$26,440 /yr",16-May-2007,"180,000 km",Sedan
12,Honda Civic 1.8A VTI (COE till 05/2022),"$10,800.00","$9,900 /yr",12-Sep-2019,"33,680 km",SUV
13,Subaru Forester 2.0i-S EyeSight Sunroof,"$113,800.00","$12,440 /yr",27-Oct-2018,"77,339 km",Sedan
14,Subaru Impreza 4D 2.0i-S EyeSight,"$75,800.00","$9,060 /yr",29-Mar-2018,"44,339 km",Luxury
18,Nissan CWB45 (COE till 09/2028),"$75,800.00","$10,160 /yr",02-Oct-2015,"80,000 km",SUV
19,Honda Vezel 1.5A X,"$48,900.00","$10,030 /yr",07-Oct-2015,"71,000 km",Truck
20,Mitsubishi Fuso Fighter FK62,"$69,500.00","$15,490 /yr",01-Apr-2019,"30,000 km",Sports
21,BMW M Series M5,"$410,000.00","$40,860 /yr",18-Nov-2011,"147,000 km",MPV
22,Volkswagen Touran Sport 1.4A TSI (New 10-yr COE),"$65,800.00","$6,580 /yr",18-Aug-2009,"12,027 km",Luxury
23,Rolls-Royce Phantom (COE till 04/2029),"$549,800.00","$68,260 /yr",05-Apr-2017,"58,016 km",SUV
24,Mitsubishi ASX 2.0A,"$63,800.00","$9,190 /yr",30-Aug-2014,"85,000 km",Luxury
25,Audi A4 1.8A TFSI MU,"$54,500.00","$12,780 /yr",29-Sep-2017,"63,000 km",Truck
26,Nissan Cabstar,"$52,800.00","$8,170 /yr",30-May-2018,"64,339 km",Luxury
27,Mercedes-Benz E-Class E200 Avantgarde,"$163,800.00","$17,930 /yr",18-Aug-2020,"1,939 km",SUV
28,Toyota Lexus UX200 Luxury,"$147,800.00","$13,390 /yr",30-Aug-2017,"56,000 km",SUV
29,Nissan Qashqai 1.2A DIG-T Premium,"$68,600.00","$9,580 /yr",12-Sep-2017,"37,400 km",SUV
30,Toyota C-HR Hybrid 1.8A Icon,"$77,800.00","$11,160 /yr",23-Nov-2018,"35,339 km",Luxury
31,Infiniti Q50 2.0T Luxe,"$108,800.00","$12,020 /yr",08-Aug-2016,"44,600 km",SUV
32,Mercedes-Benz GLE-Class GLE63S AMG 4MATIC,"$328,800.00","$43,660 /yr",04-Feb-2008,"116,000 km",Luxury
33,Nissan Cefiro 2.0A (COE till 01/2023),"$14,600.00","$8,090 /yr",15-Jan-2018,"26,000 km",Luxury
34,Hyundai Sonata 2.0A GLS,"$71,800.00","$9,270 /yr",06-Apr-2010,"133,000 km",SUV
35,Volkswagen Tiguan 2.0A TSI (COE till 04/2025),"$38,800.00","$9,740 /yr",05-Jan-2011,"137,753 km",Luxury
36,Mercedes-Benz E-Class E250 CGI (COE till 12/2030),"$79,800.00","$8,200 /yr",22-Mar-2012,"80,000 km",Hatchback
38,Honda Stream 1.8A X (COE till 06/2023),"$16,800.00","$7,580 /yr",19-May-2015,"89,050 km",SUV
39,Porsche Macan S 3.0A PDK,"$173,800.00","$30,110 /yr",20-Dec-2018,"14,888 km",SUV
40,Mercedes-Benz GLA-Class GLA250 Urban Edition,"$139,800.00","$15,400 /yr",07-Mar-2016,"50,000 km",Hatchback
41,Ford Fiesta 1.0A Ecoboost Titanium,"$48,515.00","$9,390 /yr",05-Oct-2017,"44,500 km",SUV
43,Mercedes-Benz V-Class V220 CDI Extra-Long,"$73,800.00","$12,790 /yr",30-Nov-2018,"23,700 km",Sedan
44,Nissan Sylphy 1.6A Premium,"$70,800.00","$8,210 /yr",27-Mar-2019,"32,137 km",Sedan
45,Toyota Corolla Altis 1.6A Elegance,"$85,800.00","$9,360 /yr",30-Mar-2017,"88,000 km",MPV
46,Mazda 5 2.0A Sunroof,"$67,515.00","$9,690 /yr",29-Feb-2016,"76,000 km",Sedan
47,Volkswagen Jetta GP 1.4A TSI Highline,"$56,515.00","$9,250 /yr",10-Apr-2007,"140,000 km",MPV
48,Nissan Presage 2.5A Highway Star (COE till 03/2027),"$39,800.00","$6,670 /yr",16-Feb-2012,"135,000 km",Sports
49,BMW M Series M5 (COE till 08/2030),"$160,000.00","$17,040 /yr",12-Apr-2011,"105,000 km",MPV
50,Honda Odyssey 2.4A Sunroof (New 5-yr COE),"$45,300.00","$9,060 /yr",08-Apr-2009,"162,000 km",Sedan
51,Honda Civic 1.8A (COE till 04/2029),"$55,800.00","$6,980 /yr",20-Dec-2013,"170,000 km",Luxury
52,Mercedes-Benz E-Class E200,"$72,800.00","$17,540 /yr",09-Jul-2016,"55,000 km",SUV
53,Nissan Qashqai 2.0A Premium Moonroof,"$66,688.00","$10,850 /yr",31-Jul-2019,"15,000 km",Sedan
